	GSM877126	GSM877127	GSM877128	GSM877129	GSM877130	GSM877131	GSM877132	GSM877133	GSM877134	GSM877135	GSM877136	GSM877137	GSM877138	GSM877139	GSM877140	GSM877141	GSM877142	GSM877143	GSM877144	GSM877145	GSM877146	GSM877147	GSM877148	GSM877149	GSM877150	GSM877151	GSM877152	GSM877153	GSM877154	GSM877155	GSM877156	GSM877157	GSM877158	GSM877159	GSM877160	GSM877161	GSM877162	GSM877163	GSM877164	GSM877165	GSM877166	GSM877167	GSM877168	GSM877169	GSM877170	GSM877171	GSM877173	GSM877174	GSM877175	GSM877176	GSM877177	GSM877178	GSM877179	GSM877180	GSM877181	GSM877182	GSM877183	GSM877184	GSM877185	GSM877186	GSM877187	GSM877188
210107_at	5.33805525933035	11.1525193675182	4.40833756968739	10.281753071109	8.43780689438259	6.16324998596023	3.91127236609758	10.0448068168799	3.64066270166675	3.69620495699587	8.44574928536503	12.0326570996389	4.15210325919347	4.55354533736535	4.35620391398072	9.90481149608936	4.12105305588964	4.25390781642761	4.29938093774796	7.61274995814682	3.84387638635449	3.71191837854214	8.00603757517865	4.90981143157629	11.1271090975488	4.97167252624713	3.85931470453439	3.50115509200508	3.67369120601377	4.00110234737199	4.0147288003524	4.16134813470321	13.0958472792384	3.94380049742959	4.67584383777191	4.02484068845847	3.87419032113111	10.9966019595261	10.3966403707922	4.16761625688499	6.28128720954718	4.58614542617992	4.01141590288308	10.1700837642506	6.17826180958202	11.2190430071749	13.5046500954189	11.9960844712212	4.34385501269351	4.24490068627178	4.09407889604504	12.600716198535	14.1484255976406	4.06703338228245	3.98187078700794	4.70368622798063	7.73301311013104	3.83964610848322	3.84121932492846	3.72760790282947	5.7439486611903	3.89855385127553
226147_s_at	12.3300833925133	11.0858712541807	12.7623597529272	13.3543237939405	12.8650151501415	11.4859100435525	5.94141981607446	13.4882460178425	7.40180380684151	7.14269510652824	11.3815256317492	13.1112772366637	13.2747484454627	12.1009936964428	13.5918312061461	14.0544436996847	6.41543140317255	6.53484866420474	6.32100039539891	10.6122260645806	6.76536568832802	6.66039844433677	12.2444700555533	9.96780519723844	13.2864782070154	13.519228642935	14.0117877380429	13.4973682266121	11.8417350750554	13.2693154426309	14.2478068399931	4.78356314601709	13.361080830864	9.27546740423541	13.9845471958882	12.1020253946171	10.0426949678106	13.277904888248	13.7889772022599	7.73837053765305	7.36710209558018	9.3661540257202	3.48327676834563	14.1455756976065	13.4304594280403	14.1716508443719	13.643321829652	14.3533458159835	12.4157763049541	13.6367137571944	5.98560927279617	14.3625439385895	14.4012853701466	4.5537835209588	8.90679875915129	7.82785465885845	13.5713966256884	11.3191357386081	9.33267849311253	4.660565768438	12.7727605850117	14.2121191361374
212768_s_at	5.1022714884894	13.4393850088289	5.44803032700134	10.8025047677159	11.4686194635484	8.74551910303257	8.16686037356466	13.4701245820339	11.8622203671244	10.8631769588523	10.51973852607	11.0986329300793	13.5299599946885	12.6605786206666	7.45250384621246	10.4766941070593	6.48882648293037	9.12954923580335	4.06932853120627	12.0127600599197	8.85440561949316	6.83385461188083	9.13508983644837	13.0011388979535	12.7696018770404	4.89291089444775	5.50833252349446	2.92409622499662	12.8247954756553	12.9136849675124	12.6682399446502	13.1265627412038	12.4243007527755	6.30134701619409	13.2686871327004	13.144771578098	3.98746797676725	12.206269294986	9.99663397557101	7.61602821306111	12.5746049069952	11.1412502117104	12.2405835964043	13.4713585880055	10.2164058150992	12.8275351395122	11.6400351600692	13.3545029171266	12.0535378796612	13.4601361144902	8.76237397013431	11.32573745506	13.1978374613416	11.8966183349011	4.15244154611657	5.93675099007947	13.1159642391458	8.61540584465484	3.52380066417658	6.37489396307051	8.7912538163221	10.277030930249
205815_at	4.45082172047592	13.5966145492606	13.8952242306954	12.9951865371297	3.95492167347411	6.83051081474412	4.2446455877618	7.81904241052098	3.12583439632873	7.3956948047544	9.73093630153412	10.014457411815	5.60483606773024	3.7361652572633	7.3069187041174	5.92645677848268	3.37789703886806	7.01645367571212	4.29554332776761	4.10535722830623	6.90749350476977	3.58903689715963	4.18483869912143	4.19108724057813	5.18882768794099	3.72108123769329	5.37759657264256	3.56618817691531	4.85797127670835	7.52332290278769	12.1145920706261	3.19306413475416	7.84916044396612	3.30910908830244	9.38828661614709	13.6411287627703	3.24250307726496	5.54303571823537	11.3057026381579	7.48365361721326	10.0394994769006	4.7091242197632	11.596034832207	7.28181113215425	3.83208371226643	7.3807006655148	9.84996269555289	10.086061784948	3.4703582783452	6.36989388423415	6.89024303754565	6.16951051912141	3.952566083049	7.27572363450786	4.14508691540317	5.84139816080439	7.05117768998784	11.9683480819149	3.58513477957621	3.57928822428106	3.80536227228942	3.84099420001441
214146_s_at	7.76432318672649	4.12416961853237	3.34842394205453	3.40025579479743	13.5813589090605	3.30714843466489	3.45511151443231	6.32890847795809	3.69952805490663	3.26703083156304	4.11383094116676	5.44599697098362	3.29055789145218	3.31889240180974	3.38736374091716	4.03825817433781	3.40736076308628	3.44744145107883	3.96634018197674	4.92497930832086	3.05153624804798	4.70004932970557	11.7733439436832	11.3456528372294	3.64210865852727	13.2560250781905	3.94854356402726	4.95762118827132	7.04904821956122	6.50782284526973	5.32238837853123	2.86169548017479	4.51053553877336	4.07905077404796	4.07620390596328	4.17659069853812	10.4461715024669	3.34543508742985	5.66567704199008	9.13465959412937	3.24348008557946	3.66594589203823	3.37173991152972	3.41205113940738	10.2253524964628	2.90703787631857	7.73570448775951	13.1323085434769	3.49396521746562	13.4556032571081	5.19351705929411	4.86676924615173	2.73482657374856	3.28088172872312	4.54389888355389	4.51942180885855	5.75639425177238	4.05282050979013	3.32598902859232	3.35235383837849	10.2089772146748	3.03725511725256
206268_at	11.2611008690352	7.97597379516488	4.12257229499857	7.80541873993853	7.04438544611323	4.49505243775105	10.2925190447538	11.7381218666557	11.3430613180798	9.34645314894782	4.5517089398561	8.35841185151792	3.36503375894796	10.7438445493326	3.68887875699505	11.720404385084	3.61728737372599	5.94749763491267	3.53922189326001	12.4927546480513	5.86386532444492	3.45097703757961	7.3440108292274	9.74830613825826	12.5728586912976	9.44466274207703	11.4391447870472	12.1798701204561	10.8982441566575	9.09691276527703	12.0588571408932	9.17217259692278	10.0174395164546	3.70064387132796	7.50385963339291	7.67380599333055	4.59917795037359	11.9979107287876	7.83000192509232	3.21460522826953	8.33806217365516	3.338831128428	10.8712697263352	11.4973850848918	3.74012122243531	12.6424251829179	8.50366232646461	9.24690910829008	8.5598012070363	7.28374712342736	11.4441149699787	4.96790960636823	12.4096132128411	11.4593168365657	9.95884101817733	4.07817561641103	9.55572311638686	5.47412246976228	10.9841331132193	9.41976068931156	8.41902059086499	9.35229656550795
207529_at	5.25603284598972	3.72752672159422	3.20414387619013	5.9390647949303	3.78656297567918	9.74843588797017	4.42103144920983	5.80340950744686	4.97210389798702	8.88660543130058	12.7661365857183	11.1232449007534	3.43748642334106	4.02475289423929	4.98661276880883	3.92031400858818	3.62757690696622	3.77993290650484	3.47433704464084	3.3966726953997	3.21211462173817	3.32346537824762	10.1491962097296	4.02067202401615	7.13444451506816	3.27317631680098	5.50521505051599	3.46099483383915	6.58378865395707	11.6199079613628	4.08407952767454	3.12374627290368	8.78638082368444	3.28301738356548	5.53174252515103	12.3199665731875	3.18193275852484	7.65145910543262	13.5889207010072	8.37690661405908	13.3752298774139	4.31732611128504	4.49009032686098	5.50845310273653	3.26571611130677	9.14255861362816	9.35400338430602	9.74472833165195	4.15107688618678	4.98603193974762	3.64433148847579	8.51246074959866	10.8954300388986	3.57117594892449	4.65606756723717	3.94150945586396	6.13424601014307	9.17708230955629	4.1026545929693	3.48502821463785	4.21009594159178	5.90044748899356
205892_s_at	10.9725138581088	12.0230332057509	4.51123251389621	10.8380735689208	13.1979336396802	6.10589383467682	11.6553121870546	13.358746312638	11.1090524489792	9.80859020471531	10.9814670027701	12.9043049406076	5.21337107824972	13.198307107878	4.35102980076201	11.5136696830905	6.26994798977998	8.19371736927016	3.67680584868908	13.5918547325202	8.2896729379417	3.68835370867599	13.2999698173591	8.60016605667523	11.1594335977016	10.9173060467511	13.9882635916835	3.90215102657771	13.198350728435	11.410754931347	11.698513055161	10.1013170067178	9.26160209361688	6.44753132757601	12.8453003448173	6.34422676365589	3.01456709901236	10.0274469740039	12.0519588925421	12.6844680582752	6.94111575294665	13.0333796843587	10.3412949739858	12.7006753745276	8.47113038807078	11.19652636847	13.321501498707	11.4260295670272	11.9511678498636	8.3080264422626	5.91763237540384	13.5051593102559	12.9598031541339	11.8575752514487	11.7581764102078	9.39987038013275	13.0954824763506	11.9193974329794	8.9791282354963	10.3724954458774	11.6726703489191	11.2888808242835
206143_at	3.77879787022509	4.07938987379258	3.09227370522849	10.692707375615	11.5981519298672	3.44005157921502	11.8976413667791	9.48119930434097	8.28651739988946	4.74163225356094	7.59952717069688	11.5932652143391	3.874413977787	11.0041961582179	3.76025475144338	11.2130516486909	6.44545899854729	7.52930827616474	3.62139120640826	10.3185146462018	7.45326549752731	3.60955895228615	10.2752284436535	9.50066703717607	11.23780231421	10.3563600481254	7.24103898233944	3.28951363213018	9.4234528449288	3.63430857848459	9.98270452253145	9.24139786387407	8.593632093241	3.48803348597195	11.4478286157829	3.98226188750982	3.44540182638109	10.9281895911353	10.2112206623602	13.311117817984	7.21067506620926	7.53840598301406	7.64179254756065	8.31556734894562	7.00403593762889	10.0759893934028	12.6336375669362	7.59993721631198	11.1214331530354	5.82977986157247	8.82742968418784	9.57453807105591	12.6579814710387	9.90490553646402	9.53285337287077	6.10357577063806	8.01412037272438	10.9819966197043	4.62586627679567	4.90299783372122	5.47702565128165	12.2050619967798
232252_at	8.60781782964676	9.94873132084898	3.71282559842136	3.50164606860418	3.0884283949035	3.54455203420571	7.89016185785492	3.87360389593509	9.42607231650387	3.53080536668788	3.90496940499072	3.51953928851439	3.65528445512158	3.56524349615874	3.73024010702925	9.08423955368445	3.84003601237569	3.37740015380026	4.07303402438135	9.36721397383958	3.40258450742532	3.56725033197437	7.0847565360668	9.35302225647726	8.18029547000089	9.74798727351081	8.70647732061085	3.66398551578162	4.31149099781067	3.28914339743618	6.08088030142592	3.06161682479566	3.00220740142567	3.60358422366407	3.69664677231542	3.77143882819241	3.08096542360067	3.35096782319478	10.0879240396195	9.50748462108302	3.27189304847592	9.6459318753534	8.47379027805966	9.7033485425311	10.9248499811706	10.7168704612987	3.55054705260121	10.2963388289888	3.73450178126187	8.94822194505338	3.23482277920681	10.8877801573498	3.38025026603095	9.50440604779738	3.42351296876891	3.78305458089628	9.76381790501045	10.8822941816832	3.02238176278965	3.63788243920216	8.34402350375215	3.53549349503528
